"UN_UNR_Internal_Thread_Minor_Dia_Table3_ASME_B1.1"
"Dia","TPI","Series","Class","Minor_Dia_Mean","Minor_Dia_Max","Minor_Dia_Min"
"4",6,"UN","2B",3.835,3.85,3.82
"4",6,"UN","3B",3.8298,3.8396,3.82
"4",8,"UN","2B",3.8775,3.89,3.865
"4",8,"UN","3B",3.87235,3.8797,3.865
"4",12,"UN","2B",3.919,3.928,3.91
"4",12,"UN","3B",3.9149,3.9198,3.91
"4",16,"UN","2B",3.939,3.946,3.932
"4",16,"UN","3B",3.9364,3.9408,3.932
"4 1/8",4,"UN","2B",3.873,3.892,3.854
"4 1/8",4,"UN","3B",3.8692,3.8844,3.854
"4 1/8",6,"UN","2B",3.96,3.975,3.945
"4 1/8",6,"UN","3B",3.9548,3.9646,3.945
"4 1/8",8,"UN","2B",4.0025,4.015,3.99
"4 1/8",8,"UN","3B",3.99735,4.0047,3.99
"4 1/8",12,"UN","2B",4.044,4.053,4.035
"4 1/8",12,"UN","3B",4.0399,4.0448,4.035
"4 1/8",16,"UN","2B",4.064,4.071,4.057
"4 1/8",16,"UN","3B",4.0614,4.0658,4.057
"4 1/4",4,"UNC","2B",3.998,4.017,3.979
"4 1/4",4,"UNC","3B",3.9942,4.0094,3.979
"4 1/4",6,"UN","2B",4.085,4.1,4.07
"4 1/4",6,"UN","3B",4.0798,4.0896,4.07
"4 1/4",8,"UN","2B",4.1275,4.14,4.115
"4 1/4",8,"UN","3B",4.12235,4.1297,4.115
"4 1/4",12,"UN","2B",4.169,4.178,4.16
"4 1/4",12,"UN","3B",4.1649,4.1698,4.16
"4 1/4",16,"UN","2B",4.189,4.196,4.182
"4 1/4",16,"UN","3B",4.1864,4.1908,4.182
"4 3/8",4,"UN","2B",4.123,4.142,4.104
"4 3/8",4,"UN","3B",4.1192,4.1344,4.104
"4 3/8",6,"UN","2B",4.21,4.225,4.195
"4 3/8",6,"UN","3B",4.2048,4.2146,4.195
"4 3/8",8,"UN","2B",4.2525,4.265,4.24
"4 3/8",8,"UN","3B",4.24735,4.2547,4.24
"4 3/8",12,"UN","2B",4.294,4.303,4.285
"4 3/8",12,"UN","3B",4.2899,4.2948,4.285
"4 3/8",16,"UN","2B",4.314,4.321,4.307
"4 3/8",16,"UN","3B",4.3114,4.3158,4.307
"4 1/2",4,"UNC","2B",4.248,4.267,4.229
"4 1/2",4,"UNC","3B",4.2442,4.2594,4.229
"4 1/2",6,"UN","2B",4.335,4.35,4.32
"4 1/2",6,"UN","3B",4.3298,4.3396,4.32
"4 1/2",8,"UN","2B",4.3775,4.39,4.365
"4 1/2",8,"UN","3B",4.37235,4.3797,4.365
"4 1/2",12,"UN","2B",4.419,4.428,4.41
"4 1/2",12,"UN","3B",4.4149,4.4198,4.41
"4 1/2",16,"UN","2B",4.439,4.446,4.432
"4 1/2",16,"UN","3B",4.4364,4.4408,4.432
"4 5/8",4,"UN","2B",4.373,4.392,4.354
"4 5/8",4,"UN","3B",4.3692,4.3844,4.354
"4 5/8",6,"UN","2B",4.46,4.475,4.445
"4 5/8",6,"UN","3B",4.4548,4.4646,4.445
"4 5/8",8,"UN","2B",4.5025,4.515,4.49
"4 5/8",8,"UN","3B",4.49735,4.5047,4.49
"4 5/8",12,"UN","2B",4.544,4.553,4.535
"4 5/8",12,"UN","3B",4.5399,4.5448,4.535
"4 5/8",16,"UN","2B",4.564,4.571,4.557
"4 5/8",16,"UN","3B",4.5614,4.5658,4.557
"4 3/4",4,"UNC","2B",4.498,4.517,4.479
"4 3/4",4,"UNC","3B",4.4942,4.5094,4.479
"4 3/4",6,"UN","2B",4.585,4.6,4.57
"4 3/4",6,"UN","3B",4.5798,4.5896,4.57
"4 3/4",8,"UN","2B",4.6275,4.64,4.615
"4 3/4",8,"UN","3B",4.62235,4.6297,4.615
"4 3/4",12,"UN","2B",4.669,4.678,4.66
"4 3/4",12,"UN","3B",4.6649,4.6698,4.66
"4 3/4",16,"UN","2B",4.689,4.696,4.682
"4 3/4",16,"UN","3B",4.6864,4.6908,4.682
"4 7/8",4,"UN","2B",4.623,4.642,4.604
"4 7/8",4,"UN","3B",4.6192,4.6344,4.604
"4 7/8",6,"UN","2B",4.71,4.725,4.695
"4 7/8",6,"UN","3B",4.7048,4.7146,4.695
"4 7/8",8,"UN","2B",4.7525,4.765,4.74
"4 7/8",8,"UN","3B",4.74735,4.7547,4.74
"4 7/8",12,"UN","2B",4.794,4.803,4.785
"4 7/8",12,"UN","3B",4.7899,4.7948,4.785
"4 7/8",16,"UN","2B",4.814,4.821,4.807
"4 7/8",16,"UN","3B",4.8114,4.8158,4.807
"5",4,"UNC","2B",4.748,4.767,4.729
"5",4,"UNC","3B",4.7442,4.7594,4.729
"5",6,"UN","2B",4.835,4.85,4.82
"5",6,"UN","3B",4.8298,4.8396,4.82
"5",8,"UN","2B",4.8775,4.89,4.865
"5",8,"UN","3B",4.87235,4.8797,4.865
"5",12,"UN","2B",4.919,4.928,4.91
"5",12,"UN","3B",4.9149,4.9198,4.91
"5",16,"UN","2B",4.939,4.946,4.932
"5",16,"UN","3B",4.9364,4.9408,4.932
"5 1/8",4,"UN","2B",4.873,4.892,4.854
"5 1/8",4,"UN","3B",4.8692,4.8844,4.854
"5 1/8",6,"UN","2B",4.96,4.975,4.945
"5 1/8",6,"UN","3B",4.9548,4.9646,4.945
"5 1/8",8,"UN","2B",5.0025,5.015,4.99
"5 1/8",8,"UN","3B",4.99735,5.0047,4.99
"5 1/8",12,"UN","2B",5.044,5.053,5.035
"5 1/8",12,"UN","3B",5.0399,5.0448,5.035
"5 1/8",16,"UN","2B",5.064,5.071,5.057
"5 1/8",16,"UN","3B",5.0614,5.0658,5.057
"5 1/4",4,"UNC","2B",4.998,5.017,4.979
"5 1/4",4,"UNC","3B",4.9942,5.0094,4.979
"5 1/4",6,"UN","2B",5.085,5.1,5.07
"5 1/4",6,"UN","3B",5.0798,5.0896,5.07
"5 1/4",8,"UN","2B",5.1275,5.14,5.115
"5 1/4",8,"UN","3B",5.12235,5.1297,5.115
"5 1/4",12,"UN","2B",5.169,5.178,5.16
"5 1/4",12,"UN","3B",5.1649,5.1698,5.16
"5 1/4",16,"UN","2B",5.189,5.196,5.182
"5 1/4",16,"UN","3B",5.1864,5.1908,5.182
"5 3/8",4,"UN","2B",5.1355,5.154,5.117
"5 3/8",4,"UN","3B",5.13195,5.1469,5.117
"5 3/8",6,"UN","2B",5.21,5.225,5.195
"5 3/8",6,"UN","3B",5.2048,5.2146,5.195
"5 3/8",8,"UN","2B",5.2525,5.265,5.24
"5 3/8",8,"UN","3B",5.24735,5.2547,5.24
"5 3/8",12,"UN","2B",5.294,5.303,5.285
"5 3/8",12,"UN","3B",5.2899,5.2948,5.285
"5 3/8",16,"UN","2B",5.314,5.321,5.307
"5 3/8",16,"UN","3B",5.3114,5.3158,5.307
"5 1/2",4,"UNC","2B",5.248,5.267,5.229
"5 1/2",4,"UNC","3B",5.2442,5.2594,5.229
"5 1/2",6,"UN","2B",5.335,5.35,5.32
"5 1/2",6,"UN","3B",5.3298,5.3396,5.32
"5 1/2",8,"UN","2B",5.3775,5.39,5.365
"5 1/2",8,"UN","3B",5.37235,5.3797,5.365
"5 1/2",12,"UN","2B",5.419,5.428,5.41
"5 1/2",12,"UN","3B",5.4149,5.4198,5.41
"5 1/2",16,"UN","2B",5.439,5.446,5.432
"5 1/2",16,"UN","3B",5.4364,5.4408,5.432
"5 5/8",4,"UN","2B",5.373,5.392,5.354
"5 5/8",4,"UN","3B",5.3692,5.3844,5.354
"5 5/8",6,"UN","2B",5.46,5.475,5.445
"5 5/8",6,"UN","3B",5.4548,5.4646,5.445
"5 5/8",8,"UN","2B",5.5025,5.515,5.49
"5 5/8",8,"UN","3B",5.49735,5.5047,5.49
"5 5/8",12,"UN","2B",5.544,5.553,5.535
"5 5/8",12,"UN","3B",5.5399,5.5448,5.535
"5 5/8",16,"UN","2B",5.564,5.571,5.557
"5 5/8",16,"UN","3B",5.5614,5.5658,5.557
"5 3/4",4,"UNC","2B",5.498,5.517,5.479
"5 3/4",4,"UNC","3B",5.4942,5.5094,5.479
"5 3/4",6,"UN","2B",5.585,5.6,5.57
"5 3/4",6,"UN","3B",5.5798,5.5896,5.57
"5 3/4",8,"UN","2B",5.6275,5.64,5.615
"5 3/4",8,"UN","3B",5.62235,5.6297,5.615
"5 3/4",12,"UN","2B",5.669,5.678,5.66
"5 3/4",12,"UN","3B",5.6649,5.6698,5.66
"5 3/4",16,"UN","2B",5.689,5.696,5.682
"5 3/4",16,"UN","3B",5.6864,5.6908,5.682
"5 7/8",4,"UN","2B",5.623,5.642,5.604
"5 7/8",4,"UN","3B",5.6192,5.6344,5.604
"5 7/8",6,"UN","2B",5.71,5.725,5.695
"5 7/8",6,"UN","3B",5.7048,5.7146,5.695
"5 7/8",8,"UN","2B",5.7525,5.765,5.74
"5 7/8",8,"UN","3B",5.74735,5.7547,5.74
"5 7/8",12,"UN","2B",5.794,5.803,5.785
"5 7/8",12,"UN","3B",5.7899,5.7948,5.785
"5 7/8",16,"UN","2B",5.814,5.821,5.807
"5 7/8",16,"UN","3B",5.8114,5.8158,5.807
"6",4,"UN","2B",5.748,5.767,5.729
"6",4,"UN","3B",5.7442,5.7594,5.729
"6",6,"UN","2B",5.835,5.85,5.82
"6",6,"UN","3B",5.8298,5.8396,5.82
"6",8,"UN","2B",5.8775,5.89,5.865
"6",8,"UN","3B",5.87235,5.8797,5.865
"6",12,"UN","2B",5.919,5.928,5.91
"6",12,"UN","3B",5.9149,5.9198,5.91
"6",16,"UN","2B",5.939,5.946,5.932
"6",16,"UN","3B",5.9364,5.9408,5.932
